QUOTE;AUTHOR;GENRE
Age is an issue of mind over matter. If you don't mind, it doesn't matter.;Mark Twain;age
Wrinkles should merely indicate where smiles have been.;Mark Twain;age
True terror is to wake up one morning and discover that your high school class is running the country.;Kurt Vonnegut;age
A diplomat is a man who always remembers a woman's birthday but never remembers her age.;Robert Frost;age
As I grow older, I pay less attention to what men say. I just watch what they do.;Andrew Carnegie;age
How incessant and great are the ills with which a prolonged old age is replete.;C. S. Lewis;age
Old age has deformities enough of its own. It should never add to them the deformity of vice.;Eleanor Roosevelt;age
An archaeologist is the best husband a woman can have. The older she gets the more interested he is in her.;Agatha Christie;age
All diseases run into one, old age.;Ralph Waldo Emerson;age
Bashfulness is an ornament to youth, but a reproach to old age.;Aristotle;age
Like everyone else who makes the mistake of getting older, I begin each day with coffee and obituaries.;Bill Cosby;age
None are so old as those who have outlived enthusiasm.;Henry David Thoreau;age
Every man over forty is a scoundrel.;George Bernard Shaw;age
Forty is the old age of youth fifty the youth of old age.;Victor Hugo;age
You can't help getting older, but you don't have to get old.;George Burns;age
Alas, after a certain age every man is responsible for his face.;Albert Camus;age
Youth is when you're allowed to stay up late on New Year's Eve. Middle age is when you're forced to.;Bill Vaughan;age
Old age is like everything else. To make a success of it, you've got to start young.;Theodore Roosevelt;age
A man growing old becomes a child again.;Sophocles;age
I will never be an old man. To me, old age is always 15 years older than I am.;Francis Bacon;age
Age considers youth ventures.;Rabindranath Tagore;age
What most persons consider as virtue, after the age of 40 is simply a loss of energy.;Voltaire;age
Age is a very high price to pay for maturity.;Tom Stoppard;age
Old age is no place for sissies.;Bette Davis;age
I don't feel old. I don't feel anything till noon. That's when it's time for my nap.;Bob Hope;age
When grace is joined with wrinkles, it is adorable. There is an unspeakable dawn in happy old age.;Victor Hugo;age
It takes a long time to become young.;Pablo Picasso;age
After thirty, a body has a mind of its own.;Bette Midler;age
Age is not a particularly interesting subject. Anyone can get old. All you have to do is live long enough.;Don Marquis;age
Old minds are like old horses you must exercise them if you wish to keep them in working order.;John Adams;age
Forty is the old age of youth, fifty is the youth of old age.;Hosea Ballou;age
Youth is the gift of nature, but age is a work of art.;Stanislaw Lec;age
Growing old is no more than a bad habit which a busy person has no time to form.;Andre Maurois;age
Old age is fifteen years older than I am.;Oliver Wendell Holmes;age
Aging is not lost youth but a new stage of opportunity and strength.;Betty Friedan;age
The trick is growing up without growing old.;Casey Stengel;age
Old age comes on suddenly, and not gradually as is thought.;Emily Dickinson;age
I think your whole life shows in your face and you should be proud of that.;Lauren Bacall;age
I'm happy to report that my inner child is still ageless.;James Broughton;age
Youth is the best time to be rich, and the best time to be poor.;Euripides;age
It is sad to grow old but nice to ripen.;Brigitte Bardot;age
After you're older, two things are possibly more important than any others: health and money.;Helen Gurley Brown;age
I'm not interested in age. People who tell me their age are silly. You're as old as you feel.;Henri Frederic Amiel;age
My notion of a wife at 40 is that a man should be able to change her, like a bank note, for two 20s.;Warren Beatty;age
As you age naturally, your family shows more and more on your face. If you deny that, you deny your heritage.;Frances Conroy;age
Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.;Golda Meir;age
In youth the days are short and the years are long. In old age the years are short and day's long.;Pope Paul VI;age
The aging process has you firmly in its grasp if you never get the urge to throw a snowball.;Doug Larson;age
Age is how we determine how valuable you are.;Jane Elliot;age
Middle age is when your age starts to show around your middle.;Bob Hope;age
Aging seems to be the only available way to live a long life.;Kitty O'Neill Collins;age
I think when the full horror of being fifty hits you, you should stay home and have a good cry.;Josh Billings;age
To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent that is to triumph over old age.;Amos Bronson Alcott;age
If you're old, don't try to change yourself, change your environment.;B. F. Skinner;age
Old age is an excellent time for outrage. My goal is to say or do at least one outrageous thing every week.;Louis Kronenberger;age
You know you're getting old when all the names in your black book have M. D. after them.;Harrison Ford;age
What makes old age so sad is not that our joys but our hopes cease.;Jean Paul;age
Old age is a shipwreck.;Charles de Gaulle;age
While one finds company in himself and his pursuits, he cannot feel old, no matter what his years may be.;Amos Bronson Alcott;age
Old age is the most unexpected of all the things that can happen to a man.;James Thurber;age
No one can avoid aging, but aging productively is something else.;Katharine Graham;age
Oh rage! Oh despair! Oh age, my enemy!;Pierre Corneille;age
Middle age is the time when a man is always thinking that in a week or two he will feel as good as ever.;Don Marquis;age
Middle age is the awkward period when Father Time starts catching up with Mother Nature.;Harold Coffin;age
Middle age is youth without levity, and age without decay.;Doris Day;age
No man is ever old enough to know better.;Holbrook Jackson;age
In youth we run into difficulties. In old age difficulties run into us.;Beverly Sills;age
We pay when old for the excesses of youth.;J. B. Priestley;age
We've put more effort into helping folks reach old age than into helping them enjoy it.;Frank A. Clark;age
The real sadness of fifty is not that you change so much but that you change so little.;Max Lerner;age
I'm not afraid of aging.;Shelley Duvall;age
He has a profound respect for old age. Especially when it's bottled.;Gene Fowler;age
Whatever poet, orator or sage may say of it, old age is still old age.;Sinclair Lewis;age
To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent - that is to triumph over old age.;Thomas Bailey Aldrich;age
There's no such thing as old age, there is only sorrow.;Fay Weldon;age
Those who love deeply never grow old they may die of old age, but they die young.;Dorothy Canfield Fisher;age
I get all fired up about aging in America.;Willard Scott;age
The really frightening thing about middle age is the knowledge that you'll grow out of it.;Doris Day;age
There is an anti-aging possibility, but it has to come from within.;Susan Anton;age
The lovely thing about being forty is that you can appreciate twenty-five-year-old men more.;Colleen McCullough;age
When a noble life has prepared old age, it is not decline that it reveals, but the first days of immortality.;Muriel Spark;age
The whole business of marshaling one's energies becomes more and more important as one grows older.;Hume Cronyn;age
As men get older, the toys get more expensive.;Marvin Davis;age
